Step,AliveRuns,AvgCommitters,AvgContributors
245,3026,1.62,1.92
246,3022,1.62,1.93
247,3015,1.62,1.93
248,3010,1.63,1.94
249,3008,1.63,1.95
250,3005,1.63,1.95
251,3000,1.64,1.96
252,2997,1.64,1.96
253,2992,1.65,1.97
254,2985,1.66,1.97
255,2982,1.66,1.98
256,2979,1.66,1.99
257,2972,1.67,1.99
258,2968,1.67,2.01
259,2961,1.68,2.01
260,2954,1.68,2.02
261,2950,1.69,2.02
262,2947,1.69,2.04
263,2941,1.70,2.04
264,2935,1.70,2.05
265,2932,1.71,2.05
266,2925,1.71,2.06
267,2925,1.71,2.07
268,2919,1.72,2.08
269,2915,1.73,2.08
270,2909,1.73,2.09
271,2903,1.73,2.09
272,2895,1.74,2.10
273,2888,1.74,2.10
274,2884,1.75,2.11
275,2884,1.75,2.12
276,2882,1.76,2.13
277,2879,1.76,2.13
278,2876,1.76,2.13
279,2874,1.77,2.14
280,2867,1.77,2.15
281,2860,1.78,2.16
282,2855,1.78,2.17
283,2852,1.78,2.17
284,2847,1.79,2.18
285,2843,1.79,2.19
286,2839,1.80,2.19
287,2834,1.80,2.20
288,2830,1.80,2.21
289,2826,1.81,2.22
290,2823,1.81,2.22
291,2821,1.81,2.23
292,2818,1.82,2.23
293,2816,1.83,2.24
294,2813,1.83,2.25
295,2809,1.84,2.26
296,2803,1.84,2.26
297,2796,1.85,2.26
298,2794,1.85,2.27
299,2790,1.85,2.28
300,2788,1.86,2.29
301,2786,1.86,2.29
302,2783,1.87,2.30
303,2780,1.87,2.30
304,2779,1.87,2.31
305,2774,1.88,2.32
306,2769,1.89,2.32
307,2766,1.89,2.33
308,2764,1.89,2.33
309,2758,1.90,2.33
310,2755,1.91,2.34
311,2751,1.91,2.34
312,2750,1.92,2.35
313,2745,1.92,2.36
314,2739,1.93,2.36
315,2734,1.93,2.37
316,2731,1.94,2.37
317,2727,1.94,2.38
318,2723,1.95,2.38
319,2720,1.96,2.39
320,2716,1.96,2.39
321,2713,1.97,2.40
322,2711,1.97,2.40
323,2707,1.97,2.41
324,2706,1.98,2.41
325,2703,1.98,2.42
326,2701,1.99,2.43
327,2699,1.99,2.43
328,2697,2.00,2.44
329,2692,2.00,2.44
330,2686,2.01,2.45
331,2683,2.01,2.46
332,2681,2.02,2.47
333,2679,2.02,2.48
334,2676,2.02,2.49
335,2675,2.03,2.50
336,2671,2.04,2.50
337,2669,2.04,2.51
338,2664,2.05,2.51
339,2660,2.06,2.51
340,2659,2.06,2.52
341,2656,2.06,2.53
342,2655,2.07,2.53
343,2655,2.07,2.54
344,2651,2.08,2.55
345,2649,2.08,2.56
346,2649,2.08,2.56
347,2645,2.09,2.57
348,2642,2.10,2.58
349,2641,2.10,2.58
350,2638,2.11,2.59
351,2635,2.11,2.60
352,2632,2.12,2.60
353,2631,2.12,2.61
354,2627,2.13,2.61
355,2624,2.13,2.62
356,2623,2.13,2.63
357,2621,2.14,2.63
358,2618,2.14,2.64
359,2613,2.15,2.64
360,2612,2.16,2.65
361,2611,2.16,2.65
362,2609,2.17,2.66
363,2607,2.17,2.67
364,2605,2.18,2.67
365,2602,2.18,2.68
366,2599,2.19,2.68
367,2597,2.20,2.69
368,2595,2.20,2.69
369,2593,2.21,2.70
370,2590,2.21,2.71
371,2587,2.21,2.72
372,2584,2.22,2.73
373,2582,2.22,2.73
374,2575,2.23,2.73
375,2571,2.24,2.73
376,2567,2.24,2.73
377,2562,2.25,2.74
378,2561,2.25,2.74
379,2557,2.26,2.75
380,2554,2.27,2.76
381,2551,2.27,2.77
382,2548,2.28,2.78
383,2545,2.28,2.79
384,2542,2.29,2.80
385,2540,2.29,2.80
386,2539,2.30,2.81
387,2537,2.30,2.82
388,2533,2.31,2.82
389,2532,2.31,2.82
390,2530,2.32,2.83
391,2529,2.32,2.84
392,2529,2.32,2.84
393,2527,2.33,2.85
394,2525,2.33,2.85
395,2524,2.34,2.86
396,2524,2.35,2.86
397,2522,2.35,2.86
398,2520,2.36,2.87
399,2520,2.36,2.87
400,2518,2.36,2.88
401,2515,2.37,2.89
402,2514,2.37,2.90
403,2513,2.38,2.91
404,2509,2.38,2.91
405,2508,2.39,2.92
406,2504,2.39,2.92
407,2501,2.40,2.92
408,2498,2.41,2.93
409,2496,2.41,2.95
410,2496,2.41,2.95
411,2495,2.41,2.96
412,2491,2.42,2.97
413,2491,2.43,2.97
414,2489,2.43,2.98
415,2488,2.44,2.98
416,2486,2.44,2.99
417,2483,2.45,2.99
418,2481,2.45,3.00
419,2478,2.46,3.01
420,2475,2.46,3.01
421,2474,2.47,3.02
422,2472,2.47,3.03
423,2471,2.48,3.03
424,2469,2.48,3.04
425,2467,2.49,3.05
426,2467,2.49,3.05
427,2464,2.50,3.06
428,2462,2.50,3.06
429,2459,2.51,3.06
430,2457,2.51,3.07
431,2457,2.52,3.08
432,2453,2.52,3.08
433,2452,2.53,3.08
434,2450,2.54,3.09
435,2450,2.54,3.09
436,2450,2.54,3.10
437,2449,2.55,3.10
438,2446,2.56,3.11
439,2446,2.56,3.11
440,2446,2.56,3.12
441,2446,2.57,3.13
442,2446,2.57,3.13
443,2444,2.58,3.14
444,2444,2.58,3.14
445,2443,2.59,3.15
446,2443,2.59,3.16
447,2442,2.59,3.16
448,2441,2.60,3.17
449,2439,2.60,3.17
450,2437,2.61,3.17
451,2434,2.62,3.18
452,2433,2.62,3.19
453,2431,2.62,3.19
454,2430,2.63,3.20
455,2428,2.63,3.20
456,2426,2.64,3.21
457,2425,2.65,3.21
458,2423,2.65,3.22
459,2421,2.65,3.23
460,2421,2.66,3.24
461,2419,2.66,3.24
462,2416,2.66,3.25
463,2415,2.67,3.26
464,2414,2.67,3.26
465,2412,2.68,3.27
466,2409,2.69,3.27
467,2409,2.69,3.27
468,2408,2.70,3.28
469,2408,2.70,3.28
470,2405,2.71,3.29
471,2405,2.71,3.30
472,2401,2.72,3.30
473,2400,2.73,3.31
474,2399,2.73,3.31
475,2396,2.74,3.32
476,2395,2.75,3.32
477,2394,2.76,3.33
478,2393,2.76,3.33
479,2390,2.77,3.34
480,2390,2.77,3.35
481,2390,2.77,3.36
482,2388,2.78,3.36
483,2388,2.79,3.36
484,2387,2.79,3.37
485,2387,2.79,3.38
486,2385,2.80,3.39
487,2385,2.80,3.39
488,2383,2.81,3.40
489,2382,2.81,3.41
490,2381,2.82,3.42
491,2379,2.82,3.43
492,2377,2.83,3.43
493,2375,2.83,3.44
494,2375,2.83,3.45
495,2375,2.84,3.46
496,2374,2.84,3.47
497,2373,2.85,3.47
498,2373,2.85,3.47
499,2372,2.86,3.48
500,2370,2.86,3.49
501,2367,2.87,3.49
502,2367,2.87,3.50
503,2366,2.88,3.51
504,2366,2.88,3.52
505,2364,2.88,3.52
506,2362,2.89,3.52
507,2361,2.90,3.53
508,2360,2.90,3.54
509,2358,2.91,3.54
510,2357,2.91,3.55
511,2357,2.92,3.55
512,2354,2.92,3.56
513,2353,2.93,3.56
514,2353,2.93,3.57
515,2351,2.94,3.58
516,2349,2.94,3.58
517,2348,2.95,3.59
518,2348,2.95,3.59
519,2346,2.96,3.60
520,2345,2.96,3.61
521,2343,2.97,3.61
522,2343,2.97,3.62
523,2343,2.97,3.62
524,2342,2.98,3.64
525,2341,2.98,3.64
526,2340,2.99,3.65
527,2340,2.99,3.66
528,2339,3.00,3.66
529,2339,3.01,3.67
530,2337,3.01,3.66
531,2336,3.02,3.67
532,2335,3.02,3.68
533,2335,3.02,3.69
534,2334,3.03,3.70
535,2334,3.03,3.70
536,2333,3.04,3.71
537,2333,3.04,3.72
538,2333,3.04,3.73
539,2333,3.05,3.73
540,2331,3.05,3.74
541,2330,3.06,3.75
542,2329,3.06,3.76
543,2327,3.07,3.76
544,2327,3.08,3.76
545,2323,3.09,3.77
546,2323,3.09,3.77
547,2321,3.10,3.78
548,2321,3.10,3.78
549,2321,3.11,3.78
550,2320,3.12,3.79
551,2319,3.12,3.79
552,2319,3.12,3.80
553,2319,3.13,3.81
554,2318,3.13,3.81
555,2317,3.14,3.82
556,2316,3.14,3.82
557,2316,3.15,3.83
558,2313,3.15,3.84
559,2312,3.16,3.84
560,2312,3.16,3.85
561,2311,3.17,3.86
562,2309,3.17,3.86
563,2308,3.17,3.86
564,2307,3.18,3.87
565,2306,3.18,3.88
566,2306,3.19,3.88
567,2305,3.20,3.88
568,2304,3.20,3.89
569,2304,3.20,3.90
570,2303,3.21,3.90
571,2303,3.22,3.91
572,2303,3.22,3.92
573,2302,3.22,3.92
574,2302,3.23,3.93
575,2301,3.23,3.93
576,2300,3.24,3.94
577,2298,3.24,3.94
578,2296,3.25,3.95
579,2295,3.25,3.95
580,2292,3.26,3.96
581,2292,3.26,3.97
582,2291,3.27,3.98
583,2289,3.28,3.98
584,2289,3.28,3.99
585,2289,3.28,4.00
586,2289,3.29,4.00
587,2288,3.29,4.00
588,2288,3.30,4.01
589,2288,3.30,4.02
590,2283,3.31,4.03
591,2282,3.32,4.03
592,2282,3.32,4.04
593,2281,3.32,4.04
594,2281,3.33,4.05
595,2281,3.33,4.05
596,2280,3.34,4.06
597,2280,3.35,4.06
598,2280,3.35,4.07
599,2279,3.35,4.07
600,2279,3.36,4.08
601,2279,3.37,4.08
602,2279,3.37,4.09
603,2279,3.37,4.10
604,2278,3.38,4.10
605,2278,3.39,4.10
606,2277,3.39,4.11
607,2276,3.40,4.11
608,2276,3.40,4.11
609,2276,3.41,4.12
610,2276,3.41,4.13
611,2275,3.42,4.13
612,2275,3.42,4.13
613,2272,3.43,4.14
614,2271,3.43,4.14
615,2270,3.44,4.15
616,2270,3.44,4.16
617,2270,3.45,4.17
618,2269,3.45,4.17
619,2267,3.46,4.17
620,2267,3.47,4.18
621,2266,3.47,4.18
622,2266,3.47,4.19
623,2266,3.48,4.20
624,2264,3.49,4.20
625,2264,3.49,4.20
626,2264,3.50,4.21
627,2263,3.50,4.21
628,2263,3.51,4.21
629,2262,3.52,4.22
630,2262,3.52,4.23
631,2262,3.52,4.24
632,2260,3.53,4.24
633,2259,3.53,4.25
634,2259,3.54,4.25
635,2259,3.54,4.26
636,2258,3.55,4.27
637,2258,3.55,4.27
638,2257,3.56,4.27
639,2257,3.56,4.28
640,2256,3.57,4.29
641,2256,3.57,4.29
642,2256,3.58,4.29
643,2256,3.58,4.30
644,2256,3.58,4.31
645,2256,3.59,4.31
646,2255,3.59,4.32
647,2255,3.60,4.32
648,2253,3.61,4.33
649,2253,3.61,4.34
650,2253,3.61,4.34
651,2253,3.61,4.35
652,2252,3.62,4.35
653,2252,3.62,4.36
654,2251,3.63,4.36
655,2250,3.63,4.37
656,2250,3.64,4.37
657,2250,3.64,4.38
658,2249,3.65,4.39
659,2249,3.65,4.40
660,2246,3.66,4.40
661,2245,3.66,4.40
662,2244,3.67,4.41
663,2243,3.67,4.41
664,2243,3.68,4.42
665,2243,3.68,4.42
666,2243,3.68,4.43
667,2243,3.69,4.43
668,2241,3.70,4.44
669,2241,3.70,4.44
670,2241,3.71,4.45
671,2241,3.71,4.45
672,2241,3.72,4.46
673,2241,3.72,4.47
674,2240,3.73,4.47
675,2239,3.73,4.48
676,2239,3.73,4.48
677,2239,3.74,4.50
678,2239,3.74,4.51
679,2239,3.74,4.51
680,2238,3.75,4.51
681,2238,3.75,4.52
682,2238,3.76,4.53
683,2238,3.76,4.53
684,2238,3.76,4.54
685,2238,3.77,4.54
686,2238,3.77,4.55
687,2238,3.78,4.55
688,2238,3.78,4.57
689,2238,3.78,4.58
690,2237,3.79,4.58
691,2237,3.80,4.59
692,2237,3.80,4.60
693,2237,3.80,4.61
694,2236,3.81,4.61
695,2236,3.82,4.62
696,2236,3.82,4.62
697,2236,3.83,4.63
698,2235,3.84,4.63
699,2235,3.84,4.64
700,2235,3.85,4.65
701,2234,3.85,4.65
702,2234,3.85,4.65
703,2233,3.86,4.65
704,2233,3.86,4.66
705,2233,3.87,4.67
706,2231,3.87,4.67
707,2231,3.87,4.68
708,2231,3.88,4.69
709,2231,3.88,4.69
710,2230,3.89,4.70
711,2229,3.89,4.70
712,2229,3.90,4.71
713,2228,3.90,4.72
714,2227,3.91,4.73
715,2227,3.91,4.74
716,2226,3.91,4.74
717,2226,3.92,4.75
718,2226,3.92,4.75
719,2224,3.93,4.76
720,2224,3.94,4.77
721,2222,3.94,4.77
722,2222,3.95,4.77
723,2222,3.95,4.78
724,2221,3.96,4.79
725,2220,3.96,4.80
726,2220,3.96,4.81
727,2219,3.97,4.81
728,2219,3.98,4.82
729,2219,3.98,4.82
730,2219,3.98,4.83
731,2219,3.99,4.83
732,2219,4.00,4.84
733,2219,4.00,4.84
734,2219,4.01,4.84
735,2219,4.01,4.85
736,2219,4.02,4.86
737,2219,4.03,4.86
738,2219,4.03,4.87
739,2219,4.04,4.87
740,2219,4.04,4.88
741,2218,4.05,4.89
742,2217,4.05,4.89
743,2217,4.06,4.90
744,2216,4.06,4.90
745,2216,4.06,4.91
746,2216,4.07,4.92
747,2216,4.07,4.92
748,2216,4.07,4.93
749,2216,4.08,4.93
750,2216,4.08,4.94
751,2216,4.09,4.94
752,2215,4.09,4.94
753,2215,4.10,4.95
754,2215,4.10,4.96
755,2215,4.11,4.96
