Step,AliveRuns,AvgCommitters,AvgContributors
1,10000,1.00,0.01
2,9485,1.00,0.02
3,9031,1.00,0.03
4,8630,1.00,0.04
5,8256,1.00,0.05
6,7928,1.00,0.06
7,7655,1.00,0.07
8,7388,1.00,0.08
9,7131,1.00,0.09
10,6902,1.00,0.10
11,6704,1.00,0.11
12,6522,1.00,0.12
13,6369,1.00,0.13
14,6201,1.00,0.14
15,6071,1.00,0.15
16,5940,1.00,0.16
17,5835,1.00,0.17
18,5743,1.00,0.18
19,5638,1.00,0.18
20,5564,1.00,0.19
21,5487,1.01,0.20
22,5403,1.01,0.21
23,5340,1.01,0.22
24,5266,1.01,0.23
25,5204,1.01,0.23
26,5152,1.01,0.24
27,5106,1.01,0.25
28,5065,1.01,0.26
29,5017,1.01,0.27
30,4985,1.01,0.28
31,4951,1.01,0.29
32,4920,1.01,0.30
33,4894,1.01,0.31
34,4872,1.01,0.32
35,4852,1.02,0.33
36,4827,1.02,0.34
37,4808,1.02,0.35
38,4783,1.02,0.35
39,4758,1.02,0.36
40,4741,1.02,0.37
41,4721,1.02,0.38
42,4705,1.02,0.39
43,4690,1.02,0.40
44,4671,1.02,0.41
45,4663,1.02,0.42
46,4651,1.03,0.43
47,4630,1.03,0.44
48,4613,1.03,0.44
49,4592,1.03,0.45
50,4576,1.03,0.46
51,4567,1.03,0.47
52,4553,1.03,0.48
53,4534,1.03,0.49
54,4515,1.04,0.50
55,4507,1.04,0.51
56,4497,1.04,0.52
57,4483,1.04,0.53
58,4474,1.04,0.54
59,4469,1.04,0.55
60,4454,1.04,0.55
61,4440,1.04,0.56
62,4426,1.05,0.57
63,4416,1.05,0.58
64,4402,1.05,0.59
65,4391,1.05,0.59
66,4380,1.05,0.60
67,4365,1.05,0.61
68,4355,1.06,0.62
69,4348,1.06,0.63
70,4335,1.06,0.64
71,4325,1.06,0.65
72,4311,1.06,0.65
73,4302,1.07,0.66
74,4294,1.07,0.67
75,4285,1.07,0.68
76,4276,1.07,0.68
77,4255,1.07,0.69
78,4240,1.07,0.70
79,4231,1.08,0.71
80,4223,1.08,0.72
81,4218,1.08,0.73
82,4207,1.08,0.74
83,4191,1.08,0.75
84,4186,1.08,0.76
85,4173,1.09,0.77
86,4159,1.09,0.77
87,4147,1.09,0.78
88,4136,1.09,0.79
89,4130,1.09,0.80
90,4119,1.10,0.81
91,4115,1.10,0.82
92,4108,1.10,0.83
93,4096,1.10,0.84
94,4088,1.11,0.85
95,4078,1.11,0.86
96,4066,1.11,0.86
97,4052,1.11,0.87
98,4042,1.11,0.88
99,4038,1.12,0.89
100,4034,1.12,0.90
101,4024,1.12,0.91
102,4011,1.12,0.91
103,3999,1.13,0.92
104,3986,1.13,0.93
105,3978,1.13,0.94
106,3967,1.14,0.95
107,3959,1.14,0.95
108,3952,1.14,0.96
109,3948,1.14,0.97
110,3941,1.14,0.98
111,3934,1.14,0.99
112,3926,1.15,0.99
113,3919,1.15,1.00
114,3908,1.15,1.00
115,3904,1.16,1.01
116,3894,1.16,1.02
117,3882,1.16,1.03
118,3865,1.16,1.04
119,3851,1.16,1.05
120,3844,1.17,1.05
121,3839,1.17,1.06
122,3828,1.17,1.07
123,3822,1.18,1.08
124,3815,1.18,1.09
125,3806,1.18,1.09
126,3795,1.18,1.10
127,3784,1.19,1.11
128,3774,1.19,1.12
129,3763,1.19,1.13
130,3757,1.20,1.14
131,3747,1.20,1.15
132,3738,1.20,1.16
133,3733,1.20,1.16
134,3725,1.21,1.17
135,3717,1.21,1.18
136,3711,1.21,1.19
137,3700,1.22,1.19
138,3687,1.22,1.20
139,3676,1.22,1.21
140,3671,1.23,1.22
141,3665,1.23,1.23
142,3656,1.23,1.23
143,3650,1.24,1.24
144,3641,1.24,1.24
145,3631,1.24,1.25
146,3621,1.24,1.25
147,3612,1.25,1.26
148,3607,1.25,1.27
149,3600,1.25,1.28
150,3592,1.26,1.28
151,3588,1.26,1.29
152,3575,1.27,1.30
153,3561,1.27,1.30
154,3554,1.27,1.31
155,3550,1.28,1.32
156,3544,1.28,1.32
157,3540,1.28,1.33
158,3534,1.28,1.34
159,3526,1.29,1.34
160,3520,1.29,1.35
161,3516,1.30,1.35
162,3512,1.30,1.36
163,3507,1.30,1.37
164,3500,1.31,1.37
165,3491,1.31,1.38
166,3484,1.31,1.39
167,3473,1.31,1.40
168,3468,1.32,1.41
169,3457,1.32,1.41
170,3443,1.33,1.43
171,3435,1.33,1.43
172,3431,1.33,1.44
173,3425,1.34,1.45
174,3418,1.34,1.46
175,3414,1.34,1.47
176,3411,1.34,1.47
177,3402,1.35,1.48
178,3393,1.35,1.49
179,3390,1.35,1.49
180,3382,1.36,1.50
181,3372,1.36,1.51
182,3363,1.37,1.51
183,3355,1.37,1.52
184,3351,1.37,1.53
185,3343,1.38,1.54
186,3336,1.38,1.54
187,3334,1.39,1.55
188,3331,1.39,1.56
189,3325,1.40,1.56
190,3321,1.40,1.57
191,3315,1.40,1.57
192,3308,1.41,1.58
193,3300,1.41,1.59
194,3296,1.41,1.59
195,3288,1.42,1.60
196,3284,1.42,1.61
197,3280,1.42,1.62
198,3273,1.43,1.63
199,3267,1.43,1.64
200,3262,1.43,1.64
201,3256,1.44,1.65
202,3252,1.44,1.66
203,3243,1.44,1.66
204,3238,1.45,1.67
205,3234,1.45,1.68
206,3230,1.45,1.69
207,3221,1.46,1.69
208,3218,1.46,1.70
209,3211,1.46,1.71
210,3205,1.47,1.72
211,3198,1.47,1.72
212,3192,1.48,1.73
213,3188,1.48,1.73
214,3185,1.48,1.74
215,3178,1.49,1.74
216,3175,1.49,1.75
217,3168,1.50,1.76
218,3162,1.50,1.77
219,3154,1.50,1.78
220,3149,1.51,1.78
221,3145,1.52,1.79
222,3140,1.52,1.79
223,3137,1.52,1.80
224,3130,1.53,1.81
225,3127,1.53,1.82
226,3122,1.54,1.82
227,3118,1.54,1.83
228,3114,1.55,1.84
229,3107,1.55,1.84
230,3095,1.55,1.85
231,3092,1.56,1.86
232,3087,1.56,1.87
233,3085,1.56,1.87
234,3076,1.57,1.88
235,3071,1.57,1.89
236,3068,1.57,1.90
237,3067,1.58,1.90
238,3063,1.59,1.91
239,3060,1.59,1.92
240,3058,1.59,1.92
241,3050,1.60,1.92
242,3046,1.61,1.93
243,3041,1.61,1.93
244,3038,1.62,1.94
245,3031,1.62,1.94
246,3028,1.62,1.95
247,3021,1.63,1.96
248,3014,1.63,1.97
249,3008,1.64,1.97
250,3006,1.64,1.98
251,3005,1.64,1.99
252,2999,1.65,1.99
