Step,AliveRuns,AvgCommitters,AvgContributors
214,8277,3.60,1.55
215,8274,3.60,1.55
216,8270,3.60,1.56
217,8267,3.61,1.57
218,8267,3.61,1.57
219,8264,3.62,1.58
220,8262,3.62,1.58
221,8259,3.63,1.59
222,8258,3.63,1.59
223,8252,3.64,1.60
224,8250,3.64,1.60
225,8246,3.64,1.61
226,8243,3.65,1.61
227,8238,3.65,1.62
228,8236,3.66,1.62
229,8232,3.66,1.63
230,8229,3.67,1.64
231,8228,3.67,1.64
232,8225,3.67,1.65
233,8224,3.68,1.65
234,8223,3.68,1.66
235,8222,3.69,1.67
236,8220,3.69,1.67
237,8216,3.70,1.68
238,8212,3.70,1.69
239,8210,3.70,1.69
240,8208,3.71,1.70
241,8207,3.71,1.71
242,8207,3.72,1.71
243,8205,3.72,1.72
244,8204,3.72,1.72
245,8203,3.73,1.73
246,8201,3.73,1.74
247,8200,3.74,1.74
248,8197,3.74,1.75
249,8197,3.74,1.76
250,8195,3.75,1.76
251,8193,3.75,1.76
252,8191,3.76,1.77
253,8189,3.76,1.78
254,8187,3.77,1.78
255,8184,3.77,1.79
256,8184,3.78,1.79
257,8183,3.78,1.80
258,8179,3.79,1.80
259,8177,3.79,1.81
260,8175,3.79,1.81
261,8172,3.80,1.82
262,8168,3.81,1.83
263,8168,3.81,1.83
264,8167,3.81,1.84
265,8165,3.82,1.85
266,8162,3.82,1.85
267,8160,3.83,1.86
268,8159,3.83,1.86
269,8157,3.83,1.87
270,8157,3.84,1.88
271,8155,3.84,1.88
272,8153,3.84,1.89
273,8151,3.85,1.89
274,8149,3.85,1.90
275,8147,3.86,1.90
276,8144,3.86,1.91
277,8143,3.86,1.91
278,8140,3.87,1.92
279,8137,3.87,1.93
280,8132,3.88,1.93
281,8131,3.88,1.94
282,8129,3.89,1.94
283,8129,3.89,1.95
284,8128,3.89,1.96
285,8124,3.90,1.96
286,8123,3.90,1.97
287,8123,3.91,1.97
288,8121,3.91,1.98
289,8118,3.91,1.98
290,8115,3.92,1.99
291,8113,3.92,1.99
292,8112,3.93,2.00
293,8110,3.93,2.00
294,8108,3.94,2.01
295,8106,3.94,2.02
296,8104,3.94,2.02
297,8102,3.95,2.03
298,8097,3.95,2.04
299,8096,3.96,2.04
300,8095,3.96,2.05
301,8094,3.96,2.05
302,8093,3.97,2.06
303,8091,3.97,2.06
304,8091,3.98,2.07
305,8089,3.98,2.08
306,8089,3.99,2.08
307,8087,3.99,2.09
308,8086,3.99,2.09
309,8084,4.00,2.10
310,8084,4.00,2.10
311,8083,4.00,2.11
312,8080,4.01,2.12
313,8077,4.01,2.13
314,8073,4.02,2.13
315,8072,4.02,2.14
316,8070,4.03,2.14
317,8069,4.03,2.15
318,8068,4.04,2.15
319,8067,4.04,2.16
320,8066,4.05,2.17
321,8063,4.05,2.17
322,8061,4.06,2.17
323,8061,4.06,2.18
324,8061,4.07,2.18
325,8059,4.07,2.19
326,8059,4.08,2.20
327,8056,4.08,2.20
328,8056,4.08,2.21
329,8056,4.09,2.21
330,8054,4.09,2.22
331,8051,4.10,2.23
332,8049,4.10,2.23
333,8048,4.10,2.24
334,8047,4.11,2.24
335,8046,4.11,2.25
336,8044,4.12,2.26
